#BuildingID,Date,Time,TargetTemp,ActualTemp
6,06/15/13,02:00:01 PM,65,71
14,06/16/13,03:00:01 PM,70,55
12,06/17/13,04:00:01 PM,69,68
1,06/18/13,05:00:01 PM,68,61
10,06/19/13,06:00:01 PM,65,57
15,06/20/13,07:00:01 PM,66,67
9,06/21/13,08:00:01 PM,67,72
4,06/22/13,09:00:01 PM,69,70
17,06/23/13,10:00:01 PM,68,59
19,06/24/13,11:00:01 PM,66,76
9,06/25/13,12:13:19 AM,69,66
2,06/26/13,01:13:19 AM,69,59
17,06/27/13,02:13:19 AM,70,67
20,06/28/13,03:13:19 AM,66,59
20,06/29/13,04:13:19 AM,65,70
9,06/30/13,05:13:19 AM,67,61
7,06/01/13,06:13:19 AM,69,64
7,06/02/13,07:13:19 AM,67,71
20,06/03/13,08:13:19 AM,70,61
5,06/04/13,09:13:19 AM,65,56
19,06/05/13,10:13:19 AM,65,77
18,06/06/13,11:13:19 AM,65,66
4,06/07/13,12:13:19 PM,67,60
17,06/08/13,01:13:19 PM,68,67
7,06/09/13,02:13:19 PM,68,80
17,06/10/13,03:13:19 PM,68,57
3,06/11/13,04:13:19 PM,67,59
1,06/12/13,05:13:19 PM,67,65
4,06/13/13,06:13:19 PM,69,77
7,06/14/13,07:13:19 PM,69,56
1,06/15/13,08:13:19 PM,67,66
5,06/16/13,09:13:19 PM,69,64
1,06/17/13,10:13:19 PM,70,77
1,06/18/13,11:13:19 PM,66,68
2,06/19/13,12:43:51 AM,70,66
11,06/20/13,01:43:51 AM,68,60
16,06/21/13,02:43:51 AM,65,66
17,06/22/13,03:43:51 AM,67,79
19,06/23/13,04:43:51 AM,68,63
8,06/24/13,05:43:51 AM,66,63
16,06/25/13,06:43:51 AM,67,78
4,06/26/13,07:43:51 AM,67,78
17,06/27/13,08:43:51 AM,66,59
11,06/28/13,09:43:51 AM,69,63
6,06/29/13,10:43:51 AM,67,61
20,06/30/13,11:43:51 AM,70,67
3,06/01/13,12:43:51 PM,70,59
19,06/02/13,01:43:51 PM,70,76
11,06/03/13,02:43:51 PM,70,71
20,06/04/13,03:43:51 PM,69,78
12,06/05/13,04:43:51 PM,69,69
20,06/06/13,05:43:51 PM,67,71
18,06/07/13,06:43:51 PM,65,71
20,06/08/13,07:43:51 PM,70,71
1,06/09/13,08:43:51 PM,66,57
10,06/10/13,09:43:51 PM,69,80
9,06/11/13,10:43:51 PM,65,78
5,06/12/13,11:43:51 PM,70,66
9,06/13/13,12:13:20 AM,65,77
15,06/14/13,01:13:20 AM,69,67
16,06/15/13,02:13:20 AM,69,58
5,06/16/13,03:13:20 AM,69,80
2,06/17/13,04:13:20 AM,66,60
6,06/18/13,05:13:20 AM,66,55
10,06/19/13,06:13:20 AM,69,74
14,06/20/13,07:13:20 AM,65,64
14,06/21/13,08:13:20 AM,70,62
6,06/22/13,09:13:20 AM,70,77
12,06/23/13,10:13:20 AM,65,61
5,06/24/13,11:13:20 AM,69,60
1,06/25/13,12:13:20 PM,69,62
15,06/26/13,01:13:20 PM,66,63
4,06/27/13,02:13:20 PM,70,60
18,06/28/13,03:13:20 PM,65,61
12,06/29/13,04:13:20 PM,67,80
8,06/30/13,05:13:20 PM,68,57
8,06/01/13,06:13:20 PM,66,73
10,06/02/13,07:13:20 PM,65,60
11,06/03/13,08:13:20 PM,69,67
12,06/04/13,09:13:20 PM,66,72
5,06/05/13,10:13:20 PM,65,76
9,06/06/13,11:13:20 PM,68,57
17,06/07/13,12:33:07 AM,70,77
9,06/08/13,01:33:07 AM,69,58
8,06/09/13,02:33:07 AM,67,79
20,06/10/13,03:33:07 AM,66,68
19,06/11/13,04:33:07 AM,69,56
17,06/12/13,05:33:07 AM,67,62
4,06/13/13,06:33:07 AM,66,64
2,06/14/13,07:33:07 AM,68,72
16,06/15/13,08:33:07 AM,68,55
20,06/16/13,09:33:07 AM,65,77
17,06/17/13,10:33:07 AM,67,72
7,06/18/13,11:33:07 AM,67,64
19,06/19/13,12:33:07 PM,65,64
1,06/20/13,01:33:07 PM,68,80
2,06/21/13,02:33:07 PM,68,62
9,06/22/13,03:33:07 PM,70,56
9,06/23/13,04:33:07 PM,65,69
1,06/24/13,05:33:07 PM,65,57
6,06/25/13,06:33:07 PM,68,70
20,06/26/13,07:33:07 PM,70,68
15,06/27/13,08:33:07 PM,69,73
3,06/28/13,09:33:07 PM,66,74
16,06/29/13,10:33:07 PM,67,76
8,06/30/13,11:33:07 PM,67,73
17,06/01/13,12:00:01 AM,69,55
3,06/02/13,01:00:01 AM,68,77
12,06/03/13,02:00:01 AM,69,72
14,06/04/13,03:00:01 AM,68,69
10,06/05/13,04:00:01 AM,65,70
3,06/06/13,05:00:01 AM,67,78
17,06/07/13,06:00:01 AM,65,77
11,06/08/13,07:00:01 AM,65,75
4,06/09/13,08:00:01 AM,70,71
13,06/10/13,09:00:01 AM,70,60
9,06/11/13,10:00:01 AM,70,65
13,06/12/13,11:00:01 AM,65,74
9,06/13/13,12:00:01 PM,69,79
13,06/14/13,01:00:01 PM,67,57
9,06/15/13,02:00:01 PM,70,71
12,06/16/13,03:00:01 PM,67,77
1,06/17/13,04:00:01 PM,65,59
13,06/18/13,05:00:01 PM,65,71
2,06/19/13,06:00:01 PM,68,66
5,06/20/13,07:00:01 PM,67,77
9,06/21/13,08:00:01 PM,65,74
12,06/22/13,09:00:01 PM,70,77
19,06/23/13,10:00:01 PM,67,74
2,06/24/13,11:00:01 PM,69,79
16,06/25/13,12:13:19 AM,65,69
9,06/26/13,01:13:19 AM,65,66
3,06/27/13,02:13:19 AM,69,72
19,06/28/13,03:13:19 AM,68,78
18,06/29/13,04:13:19 AM,70,65
8,06/30/13,05:13:19 AM,68,68
16,06/01/13,06:13:19 AM,69,72
19,06/02/13,07:13:19 AM,67,68
2,06/03/13,08:13:19 AM,70,75
15,06/04/13,09:13:19 AM,70,64
11,06/05/13,10:13:19 AM,65,75
10,06/06/13,11:13:19 AM,66,75
13,06/07/13,12:13:19 PM,66,69
1,06/08/13,01:13:19 PM,70,72
1,06/09/13,02:13:19 PM,69,57
13,06/10/13,03:13:19 PM,66,74
18,06/11/13,04:13:19 PM,65,63
14,06/12/13,05:13:19 PM,69,66
3,06/13/13,06:13:19 PM,70,70
14,06/14/13,07:13:19 PM,65,62
3,06/15/13,08:13:19 PM,67,65
15,06/16/13,09:13:19 PM,67,58
11,06/17/13,10:13:19 PM,66,69
7,06/18/13,11:13:19 PM,67,69
15,06/19/13,12:43:51 AM,67,66
8,06/20/13,01:43:51 AM,69,79
10,06/21/13,02:43:51 AM,67,64
19,06/22/13,03:43:51 AM,67,64
1,06/23/13,04:43:51 AM,70,80
10,06/24/13,05:43:51 AM,67,61
18,06/25/13,06:43:51 AM,67,55
12,06/26/13,07:43:51 AM,65,62
17,06/27/13,08:43:51 AM,70,62
16,06/28/13,09:43:51 AM,69,55
15,06/29/13,10:43:51 AM,67,60
10,06/30/13,11:43:51 AM,69,58
8,06/01/13,12:43:51 PM,68,76
17,06/02/13,01:43:51 PM,68,74
4,06/03/13,02:43:51 PM,70,76
5,06/04/13,03:43:51 PM,68,57
5,06/05/13,04:43:51 PM,69,66
1,06/06/13,05:43:51 PM,70,71
16,06/07/13,06:43:51 PM,65,71
15,06/08/13,07:43:51 PM,67,73
16,06/09/13,08:43:51 PM,69,74
2,06/10/13,09:43:51 PM,67,73
20,06/11/13,10:43:51 PM,66,78
5,06/12/13,11:43:51 PM,68,66
6,06/13/13,12:13:20 AM,66,61
1,06/14/13,01:13:20 AM,69,73
14,06/15/13,02:13:20 AM,69,71
2,06/16/13,03:13:20 AM,69,71
9,06/17/13,04:13:20 AM,68,66
18,06/18/13,05:13:20 AM,66,67
20,06/19/13,06:13:20 AM,70,74
6,06/20/13,07:13:20 AM,69,57
5,06/21/13,08:13:20 AM,66,71
14,06/22/13,09:13:20 AM,68,67
9,06/23/13,10:13:20 AM,67,59
5,06/24/13,11:13:20 AM,70,80
6,06/25/13,12:13:20 PM,69,71
12,06/26/13,01:13:20 PM,65,63
10,06/27/13,02:13:20 PM,67,69
17,06/28/13,03:13:20 PM,65,66
2,06/29/13,04:13:20 PM,70,76
12,06/30/13,05:13:20 PM,66,62
1,06/01/13,06:13:20 PM,65,66
9,06/02/13,07:13:20 PM,67,63
1,06/03/13,08:13:20 PM,67,69
19,06/04/13,09:13:20 PM,66,63
2,06/05/13,10:13:20 PM,69,70
4,06/06/13,11:13:20 PM,66,55
8,06/07/13,12:33:07 AM,66,77
19,06/08/13,01:33:07 AM,67,75
18,06/09/13,02:33:07 AM,69,78
12,06/10/13,03:33:07 AM,70,78
8,06/11/13,04:33:07 AM,65,67
4,06/12/13,05:33:07 AM,67,71
1,06/13/13,06:33:07 AM,68,62
5,06/14/13,07:33:07 AM,70,68
3,06/15/13,08:33:07 AM,66,72
19,06/16/13,09:33:07 AM,66,71
10,06/17/13,10:33:07 AM,66,66
8,06/18/13,11:33:07 AM,69,61
13,06/19/13,12:33:07 PM,69,66
10,06/20/13,01:33:07 PM,65,69
20,06/21/13,02:33:07 PM,69,61
1,06/22/13,03:33:07 PM,69,67
18,06/23/13,04:33:07 PM,67,56
16,06/24/13,05:33:07 PM,68,62
3,06/25/13,06:33:07 PM,68,71
16,06/26/13,07:33:07 PM,69,60
2,06/27/13,08:33:07 PM,67,76
8,06/28/13,09:33:07 PM,69,55
13,06/29/13,10:33:07 PM,70,58
16,06/30/13,11:33:07 PM,67,77
12,06/01/13,12:00:01 AM,69,58
13,06/02/13,01:00:01 AM,70,61
18,06/03/13,02:00:01 AM,68,68
2,06/04/13,03:00:01 AM,69,69
11,06/05/13,04:00:01 AM,68,72
17,06/06/13,05:00:01 AM,66,73
14,06/07/13,06:00:01 AM,67,69
17,06/08/13,07:00:01 AM,68,69
4,06/09/13,08:00:01 AM,67,64
14,06/10/13,09:00:01 AM,69,79
15,06/11/13,10:00:01 AM,68,69
5,06/12/13,11:00:01 AM,66,69
13,06/13/13,12:00:01 PM,67,71
1,06/14/13,01:00:01 PM,68,62
17,06/15/13,02:00:01 PM,65,57
9,06/16/13,03:00:01 PM,65,74
17,06/17/13,04:00:01 PM,69,69
4,06/18/13,05:00:01 PM,65,64
8,06/19/13,06:00:01 PM,67,64
19,06/20/13,07:00:01 PM,65,78
8,06/21/13,08:00:01 PM,67,75
17,06/22/13,09:00:01 PM,66,56
3,06/23/13,10:00:01 PM,65,77
5,06/24/13,11:00:01 PM,65,71
13,06/25/13,12:13:19 AM,69,56
9,06/26/13,01:13:19 AM,68,79
9,06/27/13,02:13:19 AM,68,59
15,06/28/13,03:13:19 AM,67,75
14,06/29/13,04:13:19 AM,70,57
6,06/30/13,05:13:19 AM,65,75
3,06/01/13,06:13:19 AM,70,56
15,06/02/13,07:13:19 AM,66,70
8,06/03/13,08:13:19 AM,68,67
3,06/04/13,09:13:19 AM,68,55
16,06/05/13,10:13:19 AM,67,58
13,06/06/13,11:13:19 AM,68,60
13,06/07/13,12:13:19 PM,66,56
8,06/08/13,01:13:19 PM,68,71
19,06/09/13,02:13:19 PM,68,60
13,06/10/13,03:13:19 PM,66,59
11,06/11/13,04:13:19 PM,68,61
17,06/12/13,05:13:19 PM,70,57
18,06/13/13,06:13:19 PM,69,72
14,06/14/13,07:13:19 PM,65,57
11,06/15/13,08:13:19 PM,69,80
4,06/16/13,09:13:19 PM,67,78
11,06/17/13,10:13:19 PM,66,65
10,06/18/13,11:13:19 PM,70,59
1,06/19/13,12:43:51 AM,65,58
8,06/20/13,01:43:51 AM,69,60
8,06/21/13,02:43:51 AM,68,78
17,06/22/13,03:43:51 AM,68,65
17,06/23/13,04:43:51 AM,67,74
10,06/24/13,05:43:51 AM,69,65
12,06/25/13,06:43:51 AM,68,68
11,06/26/13,07:43:51 AM,70,59
12,06/27/13,08:43:51 AM,69,57
7,06/28/13,09:43:51 AM,65,68
13,06/29/13,10:43:51 AM,65,72
15,06/30/13,11:43:51 AM,66,59
6,06/01/13,12:43:51 PM,70,74
8,06/02/13,01:43:51 PM,66,64
5,06/03/13,02:43:51 PM,70,62
10,06/04/13,03:43:51 PM,69,60
3,06/05/13,04:43:51 PM,65,67
1,06/06/13,05:43:51 PM,67,55
19,06/07/13,06:43:51 PM,65,59
7,06/08/13,07:43:51 PM,70,74
18,06/09/13,08:43:51 PM,68,58
16,06/10/13,09:43:51 PM,66,60
14,06/11/13,10:43:51 PM,70,70
15,06/12/13,11:43:51 PM,70,79
13,06/13/13,12:13:20 AM,70,55
20,06/14/13,01:13:20 AM,65,61
16,06/15/13,02:13:20 AM,69,67
6,06/16/13,03:13:20 AM,66,79
1,06/17/13,04:13:20 AM,68,69
17,06/18/13,05:13:20 AM,70,62
6,06/19/13,06:13:20 AM,66,61
13,06/20/13,07:13:20 AM,70,67
14,06/21/13,08:13:20 AM,65,59
9,06/22/13,09:13:20 AM,69,68
9,06/23/13,10:13:20 AM,67,56
16,06/24/13,11:13:20 AM,69,59
9,06/25/13,12:13:20 PM,69,58
9,06/26/13,01:13:20 PM,68,72
4,06/27/13,02:13:20 PM,68,60
13,06/28/13,03:13:20 PM,66,61
6,06/29/13,04:13:20 PM,65,68
14,06/30/13,05:13:20 PM,65,76
1,06/01/13,06:13:20 PM,68,64
9,06/02/13,07:13:20 PM,66,58
18,06/03/13,08:13:20 PM,65,56
14,06/04/13,09:13:20 PM,70,58
9,06/05/13,10:13:20 PM,66,64
12,06/06/13,11:13:20 PM,65,57
12,06/07/13,12:33:07 AM,69,71
10,06/08/13,01:33:07 AM,67,64
13,06/09/13,02:33:07 AM,66,72
18,06/10/13,03:33:07 AM,70,65
4,06/11/13,04:33:07 AM,66,73
19,06/12/13,05:33:07 AM,68,66
11,06/13/13,06:33:07 AM,68,76
4,06/14/13,07:33:07 AM,70,65
18,06/15/13,08:33:07 AM,69,67
4,06/16/13,09:33:07 AM,67,71
10,06/17/13,10:33:07 AM,66,59
11,06/18/13,11:33:07 AM,65,77
10,06/19/13,12:33:07 PM,70,59
2,06/20/13,01:33:07 PM,70,78
10,06/21/13,02:33:07 PM,65,76
13,06/22/13,03:33:07 PM,69,73
19,06/23/13,04:33:07 PM,65,59
9,06/24/13,05:33:07 PM,67,77
15,06/25/13,06:33:07 PM,67,55
11,06/26/13,07:33:07 PM,69,72
11,06/27/13,08:33:07 PM,70,64
6,06/28/13,09:33:07 PM,67,61
15,06/29/13,10:33:07 PM,67,57
5,06/30/13,11:33:07 PM,69,64
19,06/01/13,12:45:56 AM,70,66
16,06/02/13,01:45:56 AM,70,62
16,06/03/13,02:45:56 AM,69,60
5,06/04/13,03:45:56 AM,69,77
5,06/05/13,04:45:56 AM,65,78
15,06/06/13,05:45:56 AM,66,56
11,06/07/13,06:45:56 AM,66,78
6,06/08/13,07:45:56 AM,67,74
17,06/09/13,08:45:56 AM,69,55
5,06/10/13,09:45:56 AM,66,59
2,06/11/13,10:45:56 AM,65,69
4,06/12/13,11:45:56 AM,65,78
13,06/13/13,12:45:56 PM,66,68
3,06/14/13,01:45:56 PM,65,69
5,06/15/13,02:45:56 PM,68,67
20,06/16/13,03:45:56 PM,69,68
20,06/17/13,04:45:56 PM,65,74
7,06/18/13,05:45:56 PM,69,78
10,06/19/13,06:45:56 PM,68,56
19,06/20/13,07:45:56 PM,69,70
5,06/21/13,08:45:56 PM,68,64
12,06/22/13,09:45:56 PM,66,60
3,06/23/13,10:45:56 PM,65,75
1,06/24/13,11:45:56 PM,70,77
11,06/25/13,12:45:56 AM,68,74
2,06/26/13,01:45:56 AM,65,77
20,06/27/13,02:45:56 AM,67,67
20,06/28/13,03:45:56 AM,67,73
3,06/29/13,04:45:56 AM,65,60
3,06/30/13,05:45:56 AM,67,73
19,06/01/13,06:45:56 AM,69,57
4,06/02/13,07:45:56 AM,67,66
16,06/03/13,08:45:56 AM,69,80
5,06/04/13,09:45:56 AM,65,67
18,06/05/13,10:45:56 AM,70,57
14,06/06/13,11:45:56 AM,68,64
2,06/07/13,12:45:56 PM,67,65
13,06/08/13,01:45:56 PM,65,78
16,06/09/13,02:45:56 PM,68,80
14,06/10/13,03:45:56 PM,65,76
10,06/11/13,04:45:56 PM,68,58
12,06/12/13,05:45:56 PM,69,64
4,06/13/13,06:45:56 PM,70,55
5,06/14/13,07:45:56 PM,67,55
9,06/15/13,08:45:56 PM,65,80
13,06/16/13,09:45:56 PM,69,70
17,06/17/13,10:45:56 PM,69,68
2,06/18/13,11:45:56 PM,69,78
12,06/19/13,12:45:56 AM,65,75
15,06/20/13,01:45:56 AM,70,60
15,06/21/13,02:45:56 AM,67,70
2,06/22/13,03:45:56 AM,69,78
20,06/23/13,04:45:56 AM,69,70
16,06/24/13,05:45:56 AM,68,72
17,06/25/13,06:45:56 AM,67,62
5,06/26/13,07:45:56 AM,65,71
10,06/27/13,08:45:56 AM,67,76
20,06/28/13,09:45:56 AM,70,68
16,06/29/13,10:45:56 AM,65,80
10,06/30/13,11:45:56 AM,68,57
9,06/01/13,12:45:56 PM,65,74
5,06/02/13,01:45:56 PM,70,62
20,06/03/13,02:45:56 PM,69,57
16,06/04/13,03:45:56 PM,66,70
5,06/05/13,04:45:56 PM,70,61
7,06/06/13,05:45:56 PM,65,63
17,06/07/13,06:45:56 PM,66,62
10,06/08/13,12:00:01 AM,70,68
10,06/09/13,01:00:01 AM,70,56
17,06/10/13,02:00:01 AM,66,73
19,06/11/13,03:00:01 AM,68,62
19,06/12/13,04:00:01 AM,66,70
16,06/13/13,05:00:01 AM,69,63
9,06/14/13,06:00:01 AM,65,75
17,06/15/13,07:00:01 AM,65,66
11,06/16/13,08:00:01 AM,67,58
8,06/17/13,09:00:01 AM,68,63
6,06/18/13,10:00:01 AM,67,58
3,06/19/13,11:00:01 AM,70,74
8,06/20/13,12:00:01 PM,65,74
18,06/21/13,01:00:01 PM,70,63
5,06/22/13,02:00:01 PM,66,77
18,06/23/13,03:00:01 PM,68,66
17,06/24/13,04:00:01 PM,68,63
18,06/25/13,05:00:01 PM,65,69
12,06/26/13,06:00:01 PM,67,56
17,06/27/13,07:00:01 PM,66,62
15,06/28/13,08:00:01 PM,68,77
19,06/29/13,09:00:01 PM,70,57
3,06/30/13,10:00:01 PM,69,68
15,06/01/13,11:00:01 PM,69,79
7,06/02/13,12:13:19 AM,70,74
17,06/03/13,01:13:19 AM,69,66
18,06/04/13,02:13:19 AM,65,62
6,06/05/13,03:13:19 AM,66,66
7,06/06/13,04:13:19 AM,67,77
1,06/07/13,05:13:19 AM,68,64
2,06/08/13,06:13:19 AM,65,79
20,06/09/13,07:13:19 AM,67,80
4,06/10/13,08:13:19 AM,70,77
11,06/11/13,09:13:19 AM,69,76
12,06/12/13,10:13:19 AM,65,68
9,06/13/13,11:13:19 AM,66,62
7,06/14/13,12:13:19 PM,68,80
3,06/15/13,01:13:19 PM,67,75
5,06/16/13,02:13:19 PM,69,73
20,06/17/13,03:13:19 PM,66,62
6,06/18/13,04:13:19 PM,70,71
18,06/19/13,05:13:19 PM,67,69
9,06/20/13,06:13:19 PM,70,56
5,06/21/13,07:13:19 PM,68,80
18,06/22/13,08:13:19 PM,69,62
7,06/23/13,09:13:19 PM,69,63
13,06/24/13,10:13:19 PM,70,75
2,06/25/13,11:13:19 PM,67,55
17,06/26/13,12:43:51 AM,68,80
16,06/27/13,01:43:51 AM,70,58
15,06/28/13,02:43:51 AM,67,71
18,06/29/13,03:43:51 AM,70,79
6,06/30/13,04:43:51 AM,67,61
15,06/01/13,05:43:51 AM,67,75
15,06/02/13,06:43:51 AM,68,57
6,06/03/13,07:43:51 AM,69,69
10,06/04/13,08:43:51 AM,67,61
18,06/05/13,09:43:51 AM,70,59
12,06/06/13,10:43:51 AM,65,78
5,06/07/13,11:43:51 AM,65,65
16,06/08/13,12:43:51 PM,68,76
18,06/09/13,01:43:51 PM,65,73
13,06/10/13,02:43:51 PM,69,59
3,06/11/13,03:43:51 PM,69,67
11,06/12/13,04:43:51 PM,68,67
14,06/13/13,05:43:51 PM,65,77
17,06/14/13,06:43:51 PM,67,67
5,06/15/13,07:43:51 PM,70,75
16,06/16/13,08:43:51 PM,68,67
18,06/17/13,09:43:51 PM,67,71
6,06/18/13,10:43:51 PM,68,78
6,06/19/13,11:43:51 PM,68,61
7,06/20/13,12:13:20 AM,70,80
20,06/21/13,01:13:20 AM,68,66
13,06/22/13,02:13:20 AM,67,63
12,06/23/13,03:13:20 AM,69,66
16,06/24/13,04:13:20 AM,67,77
2,06/25/13,05:13:20 AM,67,69
8,06/26/13,06:13:20 AM,69,69
10,06/27/13,07:13:20 AM,65,67
7,06/28/13,08:13:20 AM,67,73
2,06/29/13,09:13:20 AM,70,77
3,06/30/13,10:13:20 AM,69,77
12,06/01/13,11:13:20 AM,65,65
12,06/02/13,12:13:20 PM,66,66
16,06/03/13,01:13:20 PM,66,63
13,06/04/13,02:13:20 PM,65,64
9,06/05/13,03:13:20 PM,66,72
1,06/06/13,04:13:20 PM,65,76
4,06/07/13,05:13:20 PM,65,72
7,06/08/13,06:13:20 PM,68,61
15,06/09/13,07:13:20 PM,66,62
1,06/10/13,08:13:20 PM,68,65
9,06/11/13,09:13:20 PM,67,75
7,06/12/13,10:13:20 PM,65,76
10,06/13/13,11:13:20 PM,65,61
10,06/14/13,12:33:07 AM,69,64
15,06/15/13,01:33:07 AM,65,55
14,06/16/13,02:33:07 AM,69,72
2,06/17/13,03:33:07 AM,67,75
19,06/18/13,04:33:07 AM,67,70
5,06/19/13,05:33:07 AM,66,57
19,06/20/13,06:33:07 AM,69,63
10,06/21/13,07:33:07 AM,68,55
18,06/22/13,08:33:07 AM,68,71
7,06/23/13,09:33:07 AM,67,66
15,06/24/13,10:33:07 AM,66,59
16,06/25/13,11:33:07 AM,69,58
10,06/26/13,12:33:07 PM,69,64
9,06/27/13,01:33:07 PM,69,56
13,06/28/13,02:33:07 PM,66,65
16,06/29/13,03:33:07 PM,65,56
12,06/30/13,04:33:07 PM,68,69
9,06/01/13,05:33:07 PM,70,65
10,06/02/13,06:33:07 PM,68,61
5,06/03/13,07:33:07 PM,65,58
20,06/04/13,08:33:07 PM,65,79
