Date,Time,TargetTemp,ActualTemp,BuildingID
6/10/13,9:00:01,67,67,17
6/11/13,10:00:01,69,60,4
6/12/13,11:00:01,70,63,7
6/13/13,12:00:01,70,60,6
6/14/13,13:00:01,69,78,2
6/15/13,14:00:01,65,71,6
6/16/13,15:00:01,70,55,14
6/17/13,16:00:01,69,68,12
6/18/13,17:00:01,68,61,1
6/19/13,18:00:01,65,57,10
6/20/13,19:00:01,66,67,15
6/21/13,20:00:01,67,72,9
6/22/13,21:00:01,69,70,4
6/23/13,22:00:01,68,59,17
6/24/13,23:00:01,66,76,19
6/25/13,0:13:19,69,66,9
6/26/13,1:13:19,69,59,2
6/27/13,2:13:19,70,67,17
6/28/13,3:13:19,66,59,20
6/29/13,4:13:19,65,70,20
6/30/13,5:13:19,67,61,9
6/1/13,6:13:19,69,64,7
6/2/13,7:13:19,67,71,7
6/3/13,8:13:19,70,61,20
6/4/13,9:13:19,65,56,5
6/5/13,10:13:19,65,77,19
6/6/13,11:13:19,65,66,18
6/7/13,12:13:19,67,60,4
6/8/13,13:13:19,68,67,17
6/9/13,14:13:19,68,80,7
6/10/13,15:13:19,68,57,17
6/11/13,16:13:19,67,59,3
6/12/13,17:13:19,67,65,1
6/13/13,18:13:19,69,77,4
6/14/13,19:13:19,69,56,7
6/15/13,20:13:19,67,66,1
6/16/13,21:13:19,69,64,5
6/17/13,22:13:19,70,77,1
6/18/13,23:13:19,66,68,1
6/19/13,0:43:51,70,66,2
6/20/13,1:43:51,68,60,11
6/21/13,2:43:51,65,66,16
6/22/13,3:43:51,67,79,17
6/23/13,4:43:51,68,63,19
6/24/13,5:43:51,66,63,8
6/25/13,6:43:51,67,78,16
6/26/13,7:43:51,67,78,4
6/27/13,8:43:51,66,59,17
6/28/13,9:43:51,69,63,11
6/29/13,10:43:51,67,61,6
6/30/13,11:43:51,70,67,20
6/1/13,12:43:51,70,59,3
6/2/13,13:43:51,70,76,19
6/3/13,14:43:51,70,71,11
6/4/13,15:43:51,69,78,20
6/5/13,16:43:51,69,69,12
6/6/13,17:43:51,67,71,20
6/7/13,18:43:51,65,71,18
6/8/13,19:43:51,70,71,20
6/9/13,20:43:51,66,57,1
6/10/13,21:43:51,69,80,10
6/11/13,22:43:51,65,78,9
6/12/13,23:43:51,70,66,5
6/13/13,0:13:20,65,77,9
6/14/13,1:13:20,69,67,15
6/15/13,2:13:20,69,58,16
6/16/13,3:13:20,69,80,5
6/17/13,4:13:20,66,60,2
6/18/13,5:13:20,66,55,6
6/19/13,6:13:20,69,74,10
6/20/13,7:13:20,65,64,14
6/21/13,8:13:20,70,62,14
6/22/13,9:13:20,70,77,6
6/23/13,10:13:20,65,61,12
6/24/13,11:13:20,69,60,5
6/25/13,12:13:20,69,62,1
6/26/13,13:13:20,66,63,15
6/27/13,14:13:20,70,60,4
6/28/13,15:13:20,65,61,18
6/29/13,16:13:20,67,80,12
6/30/13,17:13:20,68,57,8
6/1/13,18:13:20,66,73,8
6/2/13,19:13:20,65,60,10
6/3/13,20:13:20,69,67,11
6/4/13,21:13:20,66,72,12
6/5/13,22:13:20,65,76,5
6/6/13,23:13:20,68,57,9
6/7/13,0:33:07,70,77,17
6/8/13,1:33:07,69,58,9
6/9/13,2:33:07,67,79,8
6/10/13,3:33:07,66,68,20
6/11/13,4:33:07,69,56,19
6/12/13,5:33:07,67,62,17
6/13/13,6:33:07,66,64,4
6/14/13,7:33:07,68,72,2
6/15/13,8:33:07,68,55,16
6/16/13,9:33:07,65,77,20
6/17/13,10:33:07,67,72,17
6/18/13,11:33:07,67,64,7
6/19/13,12:33:07,65,64,19
6/20/13,13:33:07,68,80,1
6/21/13,14:33:07,68,62,2
6/22/13,15:33:07,70,56,9
6/23/13,16:33:07,65,69,9
6/24/13,17:33:07,65,57,1
6/25/13,18:33:07,68,70,6
6/26/13,19:33:07,70,68,20
6/27/13,20:33:07,69,73,15
6/28/13,21:33:07,66,74,3
6/29/13,22:33:07,67,76,16
6/30/13,23:33:07,67,73,8
6/1/13,0:00:01,69,55,17
6/2/13,1:00:01,68,77,3
6/3/13,2:00:01,69,72,12
6/4/13,3:00:01,68,69,14
6/5/13,4:00:01,65,70,10
6/6/13,5:00:01,67,78,3
6/7/13,6:00:01,65,77,17
6/8/13,7:00:01,65,75,11
6/9/13,8:00:01,70,71,4
6/10/13,9:00:01,70,60,13
6/11/13,10:00:01,70,65,9
6/12/13,11:00:01,65,74,13
6/13/13,12:00:01,69,79,9
6/14/13,13:00:01,67,57,13
6/15/13,14:00:01,70,71,9
6/16/13,15:00:01,67,77,12
6/17/13,16:00:01,65,59,1
6/18/13,17:00:01,65,71,13
6/19/13,18:00:01,68,66,2
6/20/13,19:00:01,67,77,5
6/21/13,20:00:01,65,74,9
6/22/13,21:00:01,70,77,12
6/23/13,22:00:01,67,74,19
6/24/13,23:00:01,69,79,2
6/25/13,0:13:19,65,69,16
6/26/13,1:13:19,65,66,9
6/27/13,2:13:19,69,72,3
6/28/13,3:13:19,68,78,19
6/29/13,4:13:19,70,65,18
6/30/13,5:13:19,68,68,8
6/1/13,6:13:19,69,72,16
6/2/13,7:13:19,67,68,19
6/3/13,8:13:19,70,75,2
6/4/13,9:13:19,70,64,15
6/5/13,10:13:19,65,75,11
6/6/13,11:13:19,66,75,10
6/7/13,12:13:19,66,69,13
6/8/13,13:13:19,70,72,1
6/9/13,14:13:19,69,57,1
6/10/13,15:13:19,66,74,13
6/11/13,16:13:19,65,63,18
6/12/13,17:13:19,69,66,14
6/13/13,18:13:19,70,70,3
6/14/13,19:13:19,65,62,14
6/15/13,20:13:19,67,65,3
6/16/13,21:13:19,67,58,15
6/17/13,22:13:19,66,69,11
6/18/13,23:13:19,67,69,7
6/19/13,0:43:51,67,66,15
6/20/13,1:43:51,69,79,8
6/21/13,2:43:51,67,64,10
6/22/13,3:43:51,67,64,19
6/23/13,4:43:51,70,80,1
6/24/13,5:43:51,67,61,10
6/25/13,6:43:51,67,55,18
6/26/13,7:43:51,65,62,12
6/27/13,8:43:51,70,62,17
6/28/13,9:43:51,69,55,16
6/29/13,10:43:51,67,60,15
6/30/13,11:43:51,69,58,10
6/1/13,12:43:51,68,76,8
6/2/13,13:43:51,68,74,17
6/3/13,14:43:51,70,76,4
6/4/13,15:43:51,68,57,5
6/5/13,16:43:51,69,66,5
6/6/13,17:43:51,70,71,1
6/7/13,18:43:51,65,71,16
6/8/13,19:43:51,67,73,15
6/9/13,20:43:51,69,74,16
6/10/13,21:43:51,67,73,2
6/11/13,22:43:51,66,78,20
6/12/13,23:43:51,68,66,5
6/13/13,0:13:20,66,61,6
6/14/13,1:13:20,69,73,1
6/15/13,2:13:20,69,71,14
6/16/13,3:13:20,69,71,2
6/17/13,4:13:20,68,66,9
6/18/13,5:13:20,66,67,18
6/19/13,6:13:20,70,74,20
6/20/13,7:13:20,69,57,6
6/21/13,8:13:20,66,71,5
6/22/13,9:13:20,68,67,14
6/23/13,10:13:20,67,59,9
6/24/13,11:13:20,70,80,5
6/25/13,12:13:20,69,71,6
6/26/13,13:13:20,65,63,12
6/27/13,14:13:20,67,69,10
6/28/13,15:13:20,65,66,17
6/29/13,16:13:20,70,76,2
6/30/13,17:13:20,66,62,12
6/1/13,18:13:20,65,66,1
6/2/13,19:13:20,67,63,9
6/3/13,20:13:20,67,69,1
6/4/13,21:13:20,66,63,19
6/5/13,22:13:20,69,70,2
6/6/13,23:13:20,66,55,4
6/7/13,0:33:07,66,77,8
6/8/13,1:33:07,67,75,19
6/9/13,2:33:07,69,78,18
6/10/13,3:33:07,70,78,12
6/11/13,4:33:07,65,67,8
6/12/13,5:33:07,67,71,4
6/13/13,6:33:07,68,62,1
6/14/13,7:33:07,70,68,5
6/15/13,8:33:07,66,72,3
6/16/13,9:33:07,66,71,19
6/17/13,10:33:07,66,66,10
6/18/13,11:33:07,69,61,8
6/19/13,12:33:07,69,66,13
6/20/13,13:33:07,65,69,10
6/21/13,14:33:07,69,61,20
6/22/13,15:33:07,69,67,1
6/23/13,16:33:07,67,56,18
6/24/13,17:33:07,68,62,16
6/25/13,18:33:07,68,71,3
6/26/13,19:33:07,69,60,16
6/27/13,20:33:07,67,76,2
6/28/13,21:33:07,69,55,8
6/29/13,22:33:07,70,58,13
6/30/13,23:33:07,67,77,16
6/1/13,0:00:01,69,58,12
6/2/13,1:00:01,70,61,13
6/3/13,2:00:01,68,68,18
6/4/13,3:00:01,69,69,2
6/5/13,4:00:01,68,72,11
6/6/13,5:00:01,66,73,17
6/7/13,6:00:01,67,69,14
6/8/13,7:00:01,68,69,17
6/9/13,8:00:01,67,64,4
6/10/13,9:00:01,69,79,14
6/11/13,10:00:01,68,69,15
6/12/13,11:00:01,66,69,5
6/13/13,12:00:01,67,71,13
6/14/13,13:00:01,68,62,1
6/15/13,14:00:01,65,57,17
6/16/13,15:00:01,65,74,9
6/17/13,16:00:01,69,69,17
6/18/13,17:00:01,65,64,4
6/19/13,18:00:01,67,64,8
6/20/13,19:00:01,65,78,19
6/21/13,20:00:01,67,75,8
6/22/13,21:00:01,66,56,17
6/23/13,22:00:01,65,77,3
6/24/13,23:00:01,65,71,5
6/25/13,0:13:19,69,56,13
6/26/13,1:13:19,68,79,9
6/27/13,2:13:19,68,59,9
6/28/13,3:13:19,67,75,15
6/29/13,4:13:19,70,57,14
6/30/13,5:13:19,65,75,6
6/1/13,6:13:19,70,56,3
6/2/13,7:13:19,66,70,15
6/3/13,8:13:19,68,67,8
6/4/13,9:13:19,68,55,3
6/5/13,10:13:19,67,58,16
6/6/13,11:13:19,68,60,13
6/7/13,12:13:19,66,56,13
6/8/13,13:13:19,68,71,8
6/9/13,14:13:19,68,60,19
6/10/13,15:13:19,66,59,13
6/11/13,16:13:19,68,61,11
6/12/13,17:13:19,70,57,17
6/13/13,18:13:19,69,72,18
6/14/13,19:13:19,65,57,14
6/15/13,20:13:19,69,80,11
6/16/13,21:13:19,67,78,4
6/17/13,22:13:19,66,65,11
6/18/13,23:13:19,70,59,10
6/19/13,0:43:51,65,58,1
6/20/13,1:43:51,69,60,8
6/21/13,2:43:51,68,78,8
6/22/13,3:43:51,68,65,17
6/23/13,4:43:51,67,74,17
6/24/13,5:43:51,69,65,10
6/25/13,6:43:51,68,68,12
6/26/13,7:43:51,70,59,11
6/27/13,8:43:51,69,57,12
6/28/13,9:43:51,65,68,7
6/29/13,10:43:51,65,72,13
6/30/13,11:43:51,66,59,15
6/1/13,12:43:51,70,74,6
6/2/13,13:43:51,66,64,8
6/3/13,14:43:51,70,62,5
6/4/13,15:43:51,69,60,10
6/5/13,16:43:51,65,67,3
6/6/13,17:43:51,67,55,1
6/7/13,18:43:51,65,59,19
6/8/13,19:43:51,70,74,7
6/9/13,20:43:51,68,58,18
6/10/13,21:43:51,66,60,16
6/11/13,22:43:51,70,70,14
6/12/13,23:43:51,70,79,15
6/13/13,0:13:20,70,55,13
6/14/13,1:13:20,65,61,20
6/15/13,2:13:20,69,67,16
6/16/13,3:13:20,66,79,6
6/17/13,4:13:20,68,69,1
6/18/13,5:13:20,70,62,17
6/19/13,6:13:20,66,61,6
6/20/13,7:13:20,70,67,13
6/21/13,8:13:20,65,59,14
6/22/13,9:13:20,69,68,9
6/23/13,10:13:20,67,56,9
6/24/13,11:13:20,69,59,16
6/25/13,12:13:20,69,58,9
6/26/13,13:13:20,68,72,9
6/27/13,14:13:20,68,60,4
6/28/13,15:13:20,66,61,13
6/29/13,16:13:20,65,68,6
6/30/13,17:13:20,65,76,14
6/1/13,18:13:20,68,64,1
6/2/13,19:13:20,66,58,9
6/3/13,20:13:20,65,56,18
6/4/13,21:13:20,70,58,14
6/5/13,22:13:20,66,64,9
6/6/13,23:13:20,65,57,12
6/7/13,0:33:07,69,71,12
6/8/13,1:33:07,67,64,10
6/9/13,2:33:07,66,72,13
6/10/13,3:33:07,70,65,18
6/11/13,4:33:07,66,73,4
6/12/13,5:33:07,68,66,19
6/13/13,6:33:07,68,76,11
6/14/13,7:33:07,70,65,4
6/15/13,8:33:07,69,67,18
6/16/13,9:33:07,67,71,4
6/17/13,10:33:07,66,59,10
6/18/13,11:33:07,65,77,11
6/19/13,12:33:07,70,59,10
6/20/13,13:33:07,70,78,2
6/21/13,14:33:07,65,76,10
6/22/13,15:33:07,69,73,13
6/23/13,16:33:07,65,59,19
6/24/13,17:33:07,67,77,9
6/25/13,18:33:07,67,55,15
6/26/13,19:33:07,69,72,11
6/27/13,20:33:07,70,64,11
6/28/13,21:33:07,67,61,6
6/29/13,22:33:07,67,57,15
6/30/13,23:33:07,69,64,5
6/1/13,0:45:56,70,66,19
6/2/13,1:45:56,70,62,16
6/3/13,2:45:56,69,60,16
6/4/13,3:45:56,69,77,5
6/5/13,4:45:56,65,78,5
6/6/13,5:45:56,66,56,15
6/7/13,6:45:56,66,78,11
6/8/13,7:45:56,67,74,6
6/9/13,8:45:56,69,55,17
6/10/13,9:45:56,66,59,5
6/11/13,10:45:56,65,69,2
6/12/13,11:45:56,65,78,4
6/13/13,12:45:56,66,68,13
6/14/13,13:45:56,65,69,3
6/15/13,14:45:56,68,67,5
6/16/13,15:45:56,69,68,20
6/17/13,16:45:56,65,74,20
6/18/13,17:45:56,69,78,7
6/19/13,18:45:56,68,56,10
6/20/13,19:45:56,69,70,19
6/21/13,20:45:56,68,64,5
6/22/13,21:45:56,66,60,12
6/23/13,22:45:56,65,75,3
6/24/13,23:45:56,70,77,1
6/25/13,0:45:56,68,74,11
6/26/13,1:45:56,65,77,2
6/27/13,2:45:56,67,67,20
6/28/13,3:45:56,67,73,20
6/29/13,4:45:56,65,60,3
6/30/13,5:45:56,67,73,3
6/1/13,6:45:56,69,57,19
6/2/13,7:45:56,67,66,4
6/3/13,8:45:56,69,80,16
6/4/13,9:45:56,65,67,5
6/5/13,10:45:56,70,57,18
6/6/13,11:45:56,68,64,14
6/7/13,12:45:56,67,65,2
6/8/13,13:45:56,65,78,13
6/9/13,14:45:56,68,80,16
6/10/13,15:45:56,65,76,14
6/11/13,16:45:56,68,58,10
6/12/13,17:45:56,69,64,12
6/13/13,18:45:56,70,55,4
6/14/13,19:45:56,67,55,5
6/15/13,20:45:56,65,80,9
6/16/13,21:45:56,69,70,13
6/17/13,22:45:56,69,68,17
6/18/13,23:45:56,69,78,2
6/19/13,0:45:56,65,75,12
6/20/13,1:45:56,70,60,15
6/21/13,2:45:56,67,70,15
6/22/13,3:45:56,69,78,2
6/23/13,4:45:56,69,70,20
6/24/13,5:45:56,68,72,16
6/25/13,6:45:56,67,62,17
6/26/13,7:45:56,65,71,5
6/27/13,8:45:56,67,76,10
6/28/13,9:45:56,70,68,20
6/29/13,10:45:56,65,80,16
6/30/13,11:45:56,68,57,10
6/1/13,12:45:56,65,74,9
6/2/13,13:45:56,70,62,5
6/3/13,14:45:56,69,57,20
6/4/13,15:45:56,66,70,16
6/5/13,16:45:56,70,61,5
6/6/13,17:45:56,65,63,7
6/7/13,18:45:56,66,62,17
6/8/13,0:00:01,70,68,10
6/9/13,1:00:01,70,56,10
6/10/13,2:00:01,66,73,17
6/11/13,3:00:01,68,62,19
6/12/13,4:00:01,66,70,19
6/13/13,5:00:01,69,63,16
6/14/13,6:00:01,65,75,9
6/15/13,7:00:01,65,66,17
6/16/13,8:00:01,67,58,11
6/17/13,9:00:01,68,63,8
6/18/13,10:00:01,67,58,6
6/19/13,11:00:01,70,74,3
6/20/13,12:00:01,65,74,8
6/21/13,13:00:01,70,63,18
6/22/13,14:00:01,66,77,5
6/23/13,15:00:01,68,66,18
6/24/13,16:00:01,68,63,17
6/25/13,17:00:01,65,69,18
6/26/13,18:00:01,67,56,12
6/27/13,19:00:01,66,62,17
6/28/13,20:00:01,68,77,15
6/29/13,21:00:01,70,57,19
6/30/13,22:00:01,69,68,3
6/1/13,23:00:01,69,79,15
6/2/13,0:13:19,70,74,7
6/3/13,1:13:19,69,66,17
6/4/13,2:13:19,65,62,18
6/5/13,3:13:19,66,66,6
6/6/13,4:13:19,67,77,7
6/7/13,5:13:19,68,64,1
6/8/13,6:13:19,65,79,2
6/9/13,7:13:19,67,80,20
6/10/13,8:13:19,70,77,4
6/11/13,9:13:19,69,76,11
6/12/13,10:13:19,65,68,12
6/13/13,11:13:19,66,62,9
6/14/13,12:13:19,68,80,7
6/15/13,13:13:19,67,75,3
6/16/13,14:13:19,69,73,5
6/17/13,15:13:19,66,62,20
6/18/13,16:13:19,70,71,6
6/19/13,17:13:19,67,69,18
6/20/13,18:13:19,70,56,9
6/21/13,19:13:19,68,80,5
6/22/13,20:13:19,69,62,18
6/23/13,21:13:19,69,63,7
6/24/13,22:13:19,70,75,13
6/25/13,23:13:19,67,55,2
6/26/13,0:43:51,68,80,17
6/27/13,1:43:51,70,58,16
6/28/13,2:43:51,67,71,15
6/29/13,3:43:51,70,79,18
6/30/13,4:43:51,67,61,6
6/1/13,5:43:51,67,75,15
6/2/13,6:43:51,68,57,15
6/3/13,7:43:51,69,69,6
6/4/13,8:43:51,67,61,10
6/5/13,9:43:51,70,59,18
6/6/13,10:43:51,65,78,12
6/7/13,11:43:51,65,65,5
6/8/13,12:43:51,68,76,16
6/9/13,13:43:51,65,73,18
6/10/13,14:43:51,69,59,13
6/11/13,15:43:51,69,67,3
6/12/13,16:43:51,68,67,11
6/13/13,17:43:51,65,77,14
6/14/13,18:43:51,67,67,17
6/15/13,19:43:51,70,75,5
6/16/13,20:43:51,68,67,16
6/17/13,21:43:51,67,71,18
6/18/13,22:43:51,68,78,6
6/19/13,23:43:51,68,61,6
6/20/13,0:13:20,70,80,7
6/21/13,1:13:20,68,66,20
6/22/13,2:13:20,67,63,13
6/23/13,3:13:20,69,66,12
6/24/13,4:13:20,67,77,16
6/25/13,5:13:20,67,69,2
6/26/13,6:13:20,69,69,8
6/27/13,7:13:20,65,67,10
6/28/13,8:13:20,67,73,7
6/29/13,9:13:20,70,77,2
6/30/13,10:13:20,69,77,3
6/1/13,11:13:20,65,65,12
6/2/13,12:13:20,66,66,12
6/3/13,13:13:20,66,63,16
6/4/13,14:13:20,65,64,13
6/5/13,15:13:20,66,72,9
6/6/13,16:13:20,65,76,1
6/7/13,17:13:20,65,72,4
6/8/13,18:13:20,68,61,7
6/9/13,19:13:20,66,62,15
6/10/13,20:13:20,68,65,1
6/11/13,21:13:20,67,75,9
6/12/13,22:13:20,65,76,7
6/13/13,23:13:20,65,61,10
6/14/13,0:33:07,69,64,10
6/15/13,1:33:07,65,55,15
6/16/13,2:33:07,69,72,14
6/17/13,3:33:07,67,75,2
6/18/13,4:33:07,67,70,19
6/19/13,5:33:07,66,57,5
6/20/13,6:33:07,69,63,19
6/21/13,7:33:07,68,55,10
6/22/13,8:33:07,68,71,18
6/23/13,9:33:07,67,66,7
6/24/13,10:33:07,66,59,15
6/25/13,11:33:07,69,58,16
6/26/13,12:33:07,69,64,10
6/27/13,13:33:07,69,56,9
6/28/13,14:33:07,66,65,13
6/29/13,15:33:07,65,56,16
6/30/13,16:33:07,68,69,12
6/1/13,17:33:07,70,65,9
6/2/13,18:33:07,68,61,10
6/3/13,19:33:07,65,58,5
6/4/13,20:33:07,65,79,20
6/5/13,21:33:07,69,64,11
6/6/13,22:33:07,66,65,14
6/7/13,23:33:07,67,69,16
6/8/13,0:00:01,69,70,9
6/9/13,1:00:01,69,80,9
6/10/13,2:00:01,66,68,9
6/11/13,3:00:01,70,68,9
6/12/13,4:00:01,67,66,19
6/13/13,5:00:01,65,66,3
6/14/13,6:00:01,66,69,12
6/15/13,7:00:01,69,57,11
6/16/13,8:00:01,69,57,6
6/17/13,9:00:01,69,64,6
6/18/13,10:00:01,67,64,1
6/19/13,11:00:01,66,67,8
6/20/13,12:00:01,68,72,9
6/21/13,13:00:01,69,68,13
6/22/13,14:00:01,67,55,9
6/23/13,15:00:01,69,66,7
6/24/13,16:00:01,67,67,11
6/25/13,17:00:01,68,74,18
6/26/13,18:00:01,68,58,7
6/27/13,19:00:01,67,80,20
6/28/13,20:00:01,66,60,3
6/29/13,21:00:01,69,55,9
6/30/13,22:00:01,69,58,7
6/1/13,23:00:01,67,56,2
6/2/13,0:13:19,70,73,12
6/3/13,1:13:19,65,68,9
6/4/13,2:13:19,66,59,3
6/5/13,3:13:19,66,65,8
6/6/13,4:13:19,66,74,8
6/7/13,5:13:19,70,73,11
6/8/13,6:13:19,70,68,10
6/9/13,7:13:19,69,56,7
6/10/13,8:13:19,67,56,10
6/11/13,9:13:19,65,63,11
6/12/13,10:13:19,66,61,20
6/13/13,11:13:19,69,57,11
6/14/13,12:13:19,67,62,10
6/15/13,13:13:19,69,70,4
6/16/13,14:13:19,67,69,1
6/17/13,15:13:19,69,78,16
6/18/13,16:13:19,66,79,1
6/19/13,17:13:19,67,60,1
6/20/13,18:13:19,69,73,12
6/21/13,19:13:19,68,55,15
6/22/13,20:13:19,65,67,19
6/23/13,21:13:19,66,55,10
6/24/13,22:13:19,68,79,9
6/25/13,23:13:19,67,75,10
6/26/13,0:43:51,67,80,15
6/27/13,1:43:51,66,78,8
6/28/13,2:43:51,67,73,6
6/29/13,3:43:51,67,69,2
6/30/13,4:43:51,68,65,10
6/1/13,5:43:51,66,62,8
6/2/13,6:43:51,69,58,16
6/3/13,7:43:51,65,64,10
6/4/13,8:43:51,68,66,20
6/5/13,9:43:51,68,70,4
6/6/13,10:43:51,65,60,19
6/7/13,11:43:51,65,70,11
6/8/13,12:43:51,65,74,6
6/9/13,13:43:51,68,69,20
6/10/13,14:43:51,67,56,19
6/11/13,15:43:51,66,80,12
6/12/13,16:43:51,67,71,20
6/13/13,17:43:51,68,62,8
6/14/13,18:43:51,66,73,2
6/15/13,19:43:51,69,60,10
6/16/13,20:43:51,67,77,3
6/17/13,21:43:51,70,73,3
6/18/13,22:43:51,69,61,4
6/19/13,23:43:51,67,58,3
6/20/13,0:13:20,65,79,5
6/21/13,1:13:20,69,63,8
6/22/13,2:13:20,69,74,16
6/23/13,3:13:20,69,56,14
6/24/13,4:13:20,65,68,8
6/25/13,5:13:20,66,75,10
6/26/13,6:13:20,65,67,14
6/27/13,7:13:20,70,78,2
6/28/13,8:13:20,69,70,10
6/29/13,9:13:20,68,73,9
6/30/13,10:13:20,67,62,9
6/1/13,11:13:20,68,57,6
6/2/13,12:13:20,70,59,7
6/3/13,13:13:20,68,64,7
6/4/13,14:13:20,70,77,3
6/5/13,15:13:20,68,55,5
6/6/13,16:13:20,67,62,14
6/7/13,17:13:20,66,61,20
6/8/13,18:13:20,65,73,16
6/9/13,19:13:20,67,59,14
6/10/13,20:13:20,68,76,2
6/11/13,21:13:20,67,73,18
6/12/13,22:13:20,66,62,2
6/13/13,23:13:20,65,68,2
6/14/13,0:33:07,69,55,14
6/15/13,1:33:07,65,79,5
6/16/13,2:33:07,67,76,2
6/17/13,3:33:07,70,60,11
6/18/13,4:33:07,65,68,3
6/19/13,5:33:07,68,61,18
6/20/13,6:33:07,66,64,8
6/21/13,7:33:07,70,67,11
6/22/13,8:33:07,66,76,16
6/23/13,9:33:07,69,63,16
6/24/13,10:33:07,70,65,5
